Group1,Group2,p-value,Metric,Test,Statistic,Significance,Significance Level
15,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,5,0.23150951985246337,Precision,Dunn Posthoc Test,,No,0.002
5,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,10,0.16827409482756847,Precision,Dunn Posthoc Test,,No,0.002
30,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
5,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,15,0.23150951985246337,Precision,Dunn Posthoc Test,,No,0.002
5,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,20,0.16827409482756847,Precision,Dunn Posthoc Test,,No,0.002
15,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,20,0.0021121675803561185,Precision,Dunn Posthoc Test,,No,0.002
5,30,0.23150951985246337,Precision,Dunn Posthoc Test,,No,0.002
10,30,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,30,0.23150951985246337,Precision,Dunn Posthoc Test,,No,0.002
20,30,0.0021121675803561185,Precision,Dunn Posthoc Test,,No,0.002
30,30,1.0,Precision,Dunn Posthoc Test,,No,0.002
5,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,5,0.5582929463924007,F1-score,Dunn Posthoc Test,,No,0.002
15,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,5,0.008179733199943955,F1-score,Dunn Posthoc Test,,No,0.002
5,10,0.5582929463924007,F1-score,Dunn Posthoc Test,,No,0.002
10,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
5,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,15,0.8308118696647387,F1-score,Dunn Posthoc Test,,No,0.002
5,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,20,0.023049801979101038,F1-score,Dunn Posthoc Test,,No,0.002
5,30,0.008179733199943955,F1-score,Dunn Posthoc Test,,No,0.002
10,30,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,30,0.8308118696647387,F1-score,Dunn Posthoc Test,,No,0.002
20,30,0.023049801979101038,F1-score,Dunn Posthoc Test,,No,0.002
30,30,1.0,F1-score,Dunn Posthoc Test,,No,0.002
5,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,5,0.5573715698023401,Specificity,Dunn Posthoc Test,,No,0.002
15,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,5,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,5,0.033960441444873445,Specificity,Dunn Posthoc Test,,No,0.002
5,10,0.5573715698023401,Specificity,Dunn Posthoc Test,,No,0.002
10,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,10,0.10149082380071915,Specificity,Dunn Posthoc Test,,No,0.002
30,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,15,0.42087599439498646,Specificity,Dunn Posthoc Test,,No,0.002
5,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,20,0.10149082380071915,Specificity,Dunn Posthoc Test,,No,0.002
15,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,20,0.0033445996954804035,Specificity,Dunn Posthoc Test,,No,0.002
5,30,0.033960441444873445,Specificity,Dunn Posthoc Test,,No,0.002
10,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,30,0.42087599439498646,Specificity,Dunn Posthoc Test,,No,0.002
20,30,0.0033445996954804035,Specificity,Dunn Posthoc Test,,No,0.002
30,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,5,0.14276948952934443,Accuracy,Dunn Posthoc Test,,No,0.002
15,5,0.2702386437091058,Accuracy,Dunn Posthoc Test,,No,0.002
20,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,5,0.012504421134104738,Accuracy,Dunn Posthoc Test,,No,0.002
5,10,0.14276948952934443,Accuracy,Dunn Posthoc Test,,No,0.002
10,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,15,0.2702386437091058,Accuracy,Dunn Posthoc Test,,No,0.002
10,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,20,0.3144373454589236,Accuracy,Dunn Posthoc Test,,No,0.002
5,30,0.012504421134104738,Accuracy,Dunn Posthoc Test,,No,0.002
10,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,30,0.3144373454589236,Accuracy,Dunn Posthoc Test,,No,0.002
30,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,5,0.9426430684121028,Precision,Dunn Posthoc Test,,No,0.002
5,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,10,0.9426430684121028,Precision,Dunn Posthoc Test,,No,0.002
30,10,1.0,Precision,Dunn Posthoc Test,,No,0.002
5,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,15,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,15,0.018861674592449366,Precision,Dunn Posthoc Test,,No,0.002
5,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,20,0.9426430684121028,Precision,Dunn Posthoc Test,,No,0.002
15,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
20,20,1.0,Precision,Dunn Posthoc Test,,No,0.002
30,20,0.012504421134104738,Precision,Dunn Posthoc Test,,No,0.002
5,30,0.9426430684121028,Precision,Dunn Posthoc Test,,No,0.002
10,30,1.0,Precision,Dunn Posthoc Test,,No,0.002
15,30,0.018861674592449366,Precision,Dunn Posthoc Test,,No,0.002
20,30,0.012504421134104738,Precision,Dunn Posthoc Test,,No,0.002
30,30,1.0,Precision,Dunn Posthoc Test,,No,0.002
5,5,1.0,Recall,Dunn Posthoc Test,,No,0.002
10,5,1.0,Recall,Dunn Posthoc Test,,No,0.002
15,5,1.0,Recall,Dunn Posthoc Test,,No,0.002
20,5,0.6393908930754382,Recall,Dunn Posthoc Test,,No,0.002
30,5,0.041235976013099584,Recall,Dunn Posthoc Test,,No,0.002
5,10,1.0,Recall,Dunn Posthoc Test,,No,0.002
10,10,1.0,Recall,Dunn Posthoc Test,,No,0.002
15,10,1.0,Recall,Dunn Posthoc Test,,No,0.002
20,10,1.0,Recall,Dunn Posthoc Test,,No,0.002
30,10,0.3144373454589236,Recall,Dunn Posthoc Test,,No,0.002
5,15,1.0,Recall,Dunn Posthoc Test,,No,0.002
10,15,1.0,Recall,Dunn Posthoc Test,,No,0.002
15,15,1.0,Recall,Dunn Posthoc Test,,No,0.002
20,15,0.12073797243122887,Recall,Dunn Posthoc Test,,No,0.002
30,15,0.00422007420555129,Recall,Dunn Posthoc Test,,No,0.002
5,20,0.6393908930754382,Recall,Dunn Posthoc Test,,No,0.002
10,20,1.0,Recall,Dunn Posthoc Test,,No,0.002
15,20,0.12073797243122887,Recall,Dunn Posthoc Test,,No,0.002
20,20,1.0,Recall,Dunn Posthoc Test,,No,0.002
30,20,1.0,Recall,Dunn Posthoc Test,,No,0.002
5,30,0.041235976013099584,Recall,Dunn Posthoc Test,,No,0.002
10,30,0.3144373454589236,Recall,Dunn Posthoc Test,,No,0.002
15,30,0.00422007420555129,Recall,Dunn Posthoc Test,,No,0.002
20,30,1.0,Recall,Dunn Posthoc Test,,No,0.002
30,30,1.0,Recall,Dunn Posthoc Test,,No,0.002
5,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,5,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,5,0.3144373454589236,F1-score,Dunn Posthoc Test,,No,0.002
30,5,0.12073797243122887,F1-score,Dunn Posthoc Test,,No,0.002
5,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,10,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,10,0.9426430684121028,F1-score,Dunn Posthoc Test,,No,0.002
5,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
10,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,15,1.0,F1-score,Dunn Posthoc Test,,No,0.002
20,15,0.041235976013099584,F1-score,Dunn Posthoc Test,,No,0.002
30,15,0.012504421134104738,F1-score,Dunn Posthoc Test,,No,0.002
5,20,0.3144373454589236,F1-score,Dunn Posthoc Test,,No,0.002
10,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
15,20,0.041235976013099584,F1-score,Dunn Posthoc Test,,No,0.002
20,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
30,20,1.0,F1-score,Dunn Posthoc Test,,No,0.002
5,30,0.12073797243122887,F1-score,Dunn Posthoc Test,,No,0.002
10,30,0.9426430684121028,F1-score,Dunn Posthoc Test,,No,0.002
15,30,0.012504421134104738,F1-score,Dunn Posthoc Test,,No,0.002
