Architecture,Splits,Epochs,Window Size,Loss,Accuracy,Precision,Recall,F1-score,Specificity
reduced_model,10,50,20,0.5708315938711166,0.7059880256652832,0.7357663345723884,0.6611764705882354,0.6955577681738256,0.7524390243902439
reduced_model,10,50,30,0.8040705740451812,0.5582089573144913,0.47511546109136144,0.8074074074074075,0.5955425095134765,0.39
Spectro_CNN,5,50,5,0.6887424349784851,0.5365025520324707,0.5217437716480362,0.23291592128801425,0.30579555633641675,0.8106623586429725
Spectro_CNN,5,50,10,0.6972444295883179,0.5011904776096344,0.5105242530489491,0.28616600790513835,0.3645257692826327,0.7179282868525897
Spectro_CNN,5,50,15,0.6977476119995117,0.506273066997528,0.531122153175901,0.24202898550724639,0.3195756698857147,0.7804511278195488
Spectro_CNN,5,50,20,0.6970192193984985,0.5233533024787903,0.5700862531697115,0.37176470588235294,0.4165161177234622,0.6804878048780487
Spectro_CNN,5,50,30,0.6953639268875123,0.48656716346740725,0.42396514161220045,0.5407407407407407,0.45310628550536886,0.45
CNN_LF,5,100,5,0.613015067577362,0.6689303994178772,0.6853212371875435,0.5785330948121645,0.619215743730732,0.7505654281098546
CNN_LF,5,100,10,0.6479408621788025,0.641269838809967,0.6214981169595154,0.7446640316205533,0.6741787498358536,0.5370517928286852
CNN_LF,5,100,15,0.6722907662391663,0.6118081212043762,0.5909880216316993,0.8115942028985508,0.6805163919274605,0.4045112781954887
CNN_LF,5,100,20,0.6837398767471313,0.598802387714386,0.5754417701122119,0.8400000000000001,0.6777339194136953,0.348780487804878
CNN_LF,5,100,30,0.8572940230369568,0.45970149636268615,0.4001980978383104,0.6814814814814815,0.5039347809789638,0.31
CNN_LF,10,100,5,0.6040250480175018,0.6755517899990082,0.695449720383166,0.5869409660107334,0.6265675370520835,0.7555735056542812
CNN_LF,10,100,10,0.6336853206157684,0.6496031761169434,0.6324334451496061,0.7280632411067194,0.6750864452406135,0.5705179282868527
CNN_LF,10,100,15,0.6575914680957794,0.6202951967716217,0.5966242573219818,0.8043478260869564,0.6826370405439557,0.4293233082706768
CNN_LF,10,100,20,0.6986524581909179,0.5922155678272247,0.5637786311502175,0.8847058823529412,0.6879448961730483,0.2890243902439024
CNN_LF,10,100,30,0.8262570977210999,0.5044776141643524,0.43132286262152997,0.7333333333333332,0.5401351664023435,0.35
reduced_model,5,100,5,0.7154413223266601,0.7166383504867554,0.707868579094339,0.6869409660107335,0.6971011906763053,0.7434571890145396
reduced_model,5,100,10,0.8266031503677368,0.6853174567222595,0.6971616962978546,0.6592885375494071,0.6773434214474181,0.7115537848605579
reduced_model,5,100,15,0.7338849306106567,0.6900369048118591,0.7119171139375753,0.6579710144927536,0.6837950721925996,0.7233082706766918
reduced_model,5,100,20,0.6059641242027283,0.7221557021141052,0.7446691673372935,0.6917647058823528,0.7165814118165234,0.7536585365853659
reduced_model,5,100,30,0.9452998042106628,0.5880596995353699,0.49160173160173154,0.5925925925925927,0.5358251765230203,0.585
reduced_model,10,100,5,0.6809866070747376,0.7337860763072968,0.7188662729925651,0.7211091234347048,0.7198990855123639,0.7452342487883683
reduced_model,10,100,10,0.8051809728145599,0.6875000059604645,0.7011754504830471,0.658498023715415,0.6790462362785032,0.7167330677290839
reduced_model,10,100,15,0.7333694219589233,0.7011070132255555,0.7257047189314624,0.6637681159420289,0.6930356807095382,0.7398496240601504
reduced_model,10,100,20,0.6263707518577576,0.7221556901931763,0.759025700876009,0.6658823529411766,0.7088710009102372,0.7804878048780487
reduced_model,10,100,30,0.9143353641033173,0.5820895552635192,0.4837911716410702,0.562962962962963,0.5195917881092809,0.595
Spectro_CNN,5,100,5,0.6863987565040588,0.5556875944137574,0.5500249261458452,0.3445438282647585,0.41372742697559295,0.7463651050080776
Spectro_CNN,5,100,10,0.6913517951965332,0.5345238208770752,0.5526668644529336,0.37944664031620556,0.44777795673238857,0.6908366533864542
Spectro_CNN,5,100,15,0.6932128429412842,0.5225092351436615,0.5897465437788018,0.20869565217391303,0.30060052688814104,0.8481203007518797
Spectro_CNN,5,100,20,0.6898709058761596,0.5365269541740417,0.5625651730826345,0.3905882352941177,0.45485343280768264,0.6878048780487805
Spectro_CNN,5,100,30,0.7029075503349305,0.4895522356033325,0.3818955601564297,0.5851851851851853,0.4397634914736364,0.425
Spectro_CNN,10,50,5,0.690101933479309,0.5399830222129822,0.5259483315476173,0.27280858676207514,0.354036568981137,0.7812600969305332
Spectro_CNN,10,50,10,0.6931718647480011,0.503968259692192,0.5047522003607321,0.3237154150197628,0.3872090027025517,0.6856573705179284
Spectro_CNN,10,50,15,0.6955745458602905,0.5118081152439118,0.5354090954915396,0.26666666666666666,0.3450478306198305,0.7661654135338345
Spectro_CNN,10,50,20,0.6946330904960633,0.5257485091686249,0.540895312986349,0.40823529411764703,0.4527094032562372,0.6475609756097561
Spectro_CNN,10,50,30,0.7041417598724365,0.462686562538147,0.40621506567328564,0.725925925925926,0.5160619005852786,0.28500000000000003
Spectro_CNN,10,100,5,0.6885306060314178,0.5373514473438263,0.5171208187219035,0.29212880143112707,0.3654586087254476,0.7588045234248788
Spectro_CNN,10,100,10,0.6934977471828461,0.5166666626930236,0.5292468045842144,0.3379446640316206,0.41002480038105904,0.6968127490039843
Spectro_CNN,10,100,15,0.6947451174259186,0.5332103341817855,0.5806940379636446,0.28695652173913044,0.3595545466354074,0.7887218045112782
Spectro_CNN,10,100,20,0.6923447370529174,0.537125751376152,0.5657002726518807,0.40588235294117647,0.4681380331743972,0.673170731707317
Spectro_CNN,10,100,30,0.7056678056716919,0.5268656760454178,0.43038200469121524,0.574074074074074,0.4814904328939947,0.495
