Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity,SynFlow
"[0, 27, 1, 0, 6, 26, 1, 0, 8, 1, 1, 0, 0, 20, 0, 0, 7, 0, 0, 0, 0, 24, 0, 0, 8, 1, 1, 0, 0, 8, 1, 0, 8, 2, 1, 0, 7, 0, 0, 0, 4, 268, 0, 0, 7, 0, 0, 0]",0.6931797921657562,0.5,0.5009784735812133,0.6727989487516426,0.5743129556926528,0.3298291721419185,4.846631752421672
"[3, 0, 0, 0, 4, 258, 0, 0, 8, 2, 2, 0, 6, 18, 4, 0, 0, 12, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 4, 292, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0]",0.6933768451213836,0.5,0.509,0.3344283837056505,0.4036478984932593,0.6773981603153745,0.029099304264491366
"[1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 31, 0, 0, 4, 42, 0, 0, 7, 0, 0, 0, 0, 26, 0, 0, 8, 3, 2, 0, 2, 1, 0, 0, 0, 14, 1, 0]",0.6940414726734161,0.5,0.4982220466218885,0.828515111695138,0.6222551196644461,0.1655716162943495,1.816199650085764
"[8, 0, 1, 0, 0, 28, 0, 0, 1, 28, 0, 0, 7, 0, 0, 0, 6, 38, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 19, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931139290332794,0.5,0.5058236272878536,0.5992115637319316,0.5485714285714286,0.4145860709592641,0.1009849649062744
"[0, 25, 1, 0, 5, 0, 0, 0, 4, 153, 0, 0, 4, 439, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 477, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931921541690826,0.5,0.5047619047619047,0.3134034165571616,0.386704499391974,0.6925098554533509,0.0
"[3, 0, 0, 0, 0, 24, 1, 0, 7, 0, 0, 0, 0, 14, 1, 0, 8, 2, 2, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 6, 12, 4, 0, 4, 220, 0, 0]",0.693627679347992,0.5,0.5258126195028681,0.1806833114323258,0.2689486552567237,0.8370565045992115,0.01952136817635619
"[7, 0, 0, 0, 0, 31, 0, 0, 6, 39, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 4, 401, 0, 0, 2, 0, 0, 0]",0.694387799501419,0.5,0.4980174464710547,0.4126149802890933,0.4513115343154869,0.5840998685939554,0.34790832318685716
"[2, 1, 0, 0, 7, 0, 0, 0, 4, 351, 0, 0, 0, 31, 1, 0, 1, 31, 0, 0, 6, 23, 2, 0, 8, 3, 1, 0, 4, 25, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0]",0.6958403348922729,0.5,0.5081669691470054,0.3679369250985545,0.4268292682926829,0.6438896189224704,0.013090683554764837
"[0, 8, 1, 0, 0, 9, 1, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 6, 20, 4, 0, 3, 0, 0, 0, 8, 2, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0]",0.7025742769241333,0.5,0.4856961220597584,0.5019710906701709,0.4936995153473344,0.4684625492772667,0.0
"[2, 1, 0, 0, 1, 4, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0]",0.707088577747345,0.5,0.4912739965095986,0.3699080157687253,0.4220389805097451,0.6169513797634691,0.16290327704030005
